Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
2006-05,205.7,3.990322581,28.47741935,28.12258065,31.98709677,25.44516129
2006-06,236.8,5.596666667,30.18333333,27.84,31.03333333,25.11333333
2006-07,153.8,9.567741935,34.20322581,28.41290323,31.47419355,25.69677419
2006-08,127.3,9.696774194,32.73548387,28.32903226,31.53548387,25.55806452
2006-09,83.3,7.113333333,30.68666667,27.98,31.39666667,25.39666667
2006-10,102,5.119354839,28.12580645,28.33870968,32.21290323,25.44193548
2006-11,185.6,3.613333333,28.27333333,27.25333333,31.43,24.55333333
2006-12,765.9,6.535483871,32.76129032,26.63870968,29.97096774,24.33548387
2007-01,450.1,7.083870968,31.10967742,26.47741935,29.78064516,24.2
2007-02,105.5,8.696428571,32.125,27.25,31.48571429,24.51428571
2007-03,269.1,4.2,30.36129032,27.47096774,31.49032258,24.6483871
2007-04,240.2,3.913333333,28.93333333,28.10666667,32.04,25.20333333
2007-05,127.2,4.990322581,33.80645161,28.29032258,31.60967742,25.30322581
2007-06,139,4.79,29.45333333,28.41666667,32.10333333,25.42666667
2007-07,141.7,5.464516129,30.41612903,27.7516129,30.6,25.13225806
2007-08,190.7,6.351612903,31.48709677,27.73225806,30.8516129,24.97096774
2007-09,149,6.836666667,31.6,27.84666667,30.96666667,24.99
2007-10,237.2,4.883870968,32,27.79032258,31.57419355,24.92580645
2007-11,367.9,3.656666667,30.14333333,26.89666667,30.77,24.03333333
2007-12,468.6,4.751612903,30.01290323,26.44193548,30.07096774,24.0516129
2008-01,262.6,6.419354839,29.96774194,26.76129032,30.69677419,24.33548387
2008-02,129.2,7.686206897,32.22758621,26.72758621,30.90689655,23.98275862
2008-03,294.1,5.283870968,30.42258065,26.53548387,30.07741935,23.99354839
2008-04,87.2,4.273333333,29.26666667,28.05,31.85666667,25.06666667
2008-05,124.9,6.435483871,31.19677419,28.77096774,32.17419355,25.96129032
2008-06,118.3,6.076666667,29.98333333,28.20333333,31.39666667,25.30333333
2008-07,89.1,7.061290323,30.06774194,27.76451613,30.79354839,25.13548387
2008-08,327.3,7.180645161,32.85483871,27.4483871,30.91612903,24.71612903
2008-09,164.4,5.83,31.97333333,27.70666667,31.14333333,24.63666667
2008-10,159.5,3.329032258,28.12580645,27.59032258,31.35806452,24.96774194
2008-11,324.3,3.426666667,29.42,27.27666667,31.16666667,24.53
2008-12,244.2,6.041935484,30.35483871,26.85806452,30.50967742,24.33548387
2009-01,38.3,10.09354839,34.66451613,26.78387097,30.73225806,24.16129032
2009-02,201.8,7.596428571,32.3,27.31785714,32.31071429,24.23571429
2009-03,223.3,7.106451613,33.87096774,27.18709677,31.41935484,24.08709677
2009-04,183.7,7.173333333,33.07666667,28.47333333,32.31,25.39
2009-05,198.6,6.522580645,32.28387097,28.73548387,32.22903226,25.25483871
2009-06,21.8,6.06,31.35333333,29.13,32.63666667,26.16333333
2009-07,161,6.974193548,34.31935484,28.25806452,31.66451613,25.33225806
2009-08,177.8,7.135483871,31.79032258,28.32580645,31.72258065,25.55483871
2009-09,109.6,6.74,33.26333333,28.33666667,31.7,25.52
2009-10,133.4,6.358064516,34.91935484,28.2483871,32.05483871,25.19677419
2009-11,281.8,8.976666667,35.82333333,27.22666667,31.52,24.80333333
2009-12,189.8,11.75483871,36.38064516,27.09677419,30.66451613,24.64516129
2010-01,69.5,10.5,36.37741935,27.4483871,31.17419355,24.43870968
2010-02,6.3,12.79285714,38.08214286,28.88214286,33.49642857,25.53571429
2010-03,238,10.02258065,34.27419355,28.58387097,33.06451613,25.14516129
2010-04,158.5,7.72,34.07333333,28.56666667,32.77666667,25.04333333
2010-05,157.5,7.461290323,32.25806452,29.23548387,33.20967742,25.9483871
2010-06,240.5,7.37,33.93333333,28.31666667,31.36666667,25.22
2010-07,298.5,6.922580645,29.59354839,27.70967742,30.94193548,24.62258065
2010-08,158.4,7.932258065,30.2516129,27.89354839,31.19354839,24.58387097
2010-09,121.5,7.386666667,32.57666667,28.02666667,31.77666667,24.91666667
2010-10,166.2,6.687096774,33.99354839,28.25806452,31.70645161,25.06451613
2010-11,278.8,6.72,34.47666667,27.38666667,31.57333333,24.16333333
2010-12,181.4,6.922580645,33.0483871,26.79354839,30.8,23.85483871
2011-01,513.2,10.3,35.78387097,26.30645161,29.72258065,23.51935484
2011-02,23,11.39642857,35.43571429,27.275,31.68928571,24.12857143
2011-03,256.6,7.316129032,31.50322581,27.04516129,31.31290323,23.94193548
2011-04,217.8,8.77,32.58333333,27.89333333,31.89333333,24.62
2011-05,127,6.774193548,30.70322581,28.52580645,32.44516129,25.22903226
2011-06,213,8.316666667,33.16,28.36333333,31.27333333,25.18333333
2011-07,76.6,11.28709677,35.00967742,28.68387097,31.9,25.52580645
2011-08,81.4,10.06129032,35.43548387,27.91290323,31.00322581,25.62258065
2011-09,136.4,9.346666667,37.65,27.85333333,30.89,25.06666667
2011-10,216.8,7.193548387,32.15483871,27.29354839,31.0483871,24.71290323
2011-11,377.8,6.62,29.69,27.08666667,31.12333333,24.60333333
